Timestamp,PC,Event
2025-08-18 03:01:01,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:03,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:04,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:06,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:09,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:10,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:12,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:15,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:16,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:18,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:20,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:23,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:24,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:26,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:28,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:30,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:32,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:34,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:36,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:39,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:41,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:01:43,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:44,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:47,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:49,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:51,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:01:53,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:55,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:56,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:01:58,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:00,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:02,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:05,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:06,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:08,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:10,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:12,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:14,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:17,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:19,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:20,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:22,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:25,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:27,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:29,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:31,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:32,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:35,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:36,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:39,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:40,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:42,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:45,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:47,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:02:48,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:51,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:53,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:02:55,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:57,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:02:59,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:00,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:02,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:05,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:06,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:08,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:11,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:12,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:15,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:16,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:18,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:20,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:23,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:24,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:26,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:29,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:30,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:32,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:35,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:37,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:38,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:41,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:42,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:45,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:03:47,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:48,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:50,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:52,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:55,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:03:56,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:03:59,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:00,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:02,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:04,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:06,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:08,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:10,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:12,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:14,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:16,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:18,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:21,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:22,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:25,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:26,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:28,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:31,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:32,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:35,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:36,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:39,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:40,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:42,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:45,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:47,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:49,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:04:51,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:53,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:54,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:04:57,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:04:58,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:00,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:03,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:05,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:07,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:09,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:10,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:12,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:15,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:17,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:19,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:21,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:23,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:24,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:26,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:28,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:31,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:32,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:35,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:36,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:39,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:40,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:43,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:44,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:46,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:49,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:51,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:53,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:05:55,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:05:56,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:05:58,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:01,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:02,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:05,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:06,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:08,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:11,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:13,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:14,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:17,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:19,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:20,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:23,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:25,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:27,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:29,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:30,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:33,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:35,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:36,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:38,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:40,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:43,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:44,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:47,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:49,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:50,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:06:52,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:54,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:06:57,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:06:58,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:00,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:02,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:04,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:07,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:09,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:10,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:12,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:14,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:17,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:18,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:20,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:22,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:25,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:27,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:29,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:31,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:32,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:34,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:36,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:39,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:40,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:42,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:45,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:46,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:49,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:07:51,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:52,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:54,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:07:57,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:07:59,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:01,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:02,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:04,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:07,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:08,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:11,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:13,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:14,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:17,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:19,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:21,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:22,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:25,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:26,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:28,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:31,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:33,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:34,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:37,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:38,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:40,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:43,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:45,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:47,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:49,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:51,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:08:53,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:08:55,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:56,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:08:59,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:01,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:03,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:04,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:06,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:09,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:10,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:13,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:15,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:17,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:18,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:21,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:23,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:24,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:26,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:28,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:30,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:33,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:35,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:36,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:39,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:40,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:43,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:44,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:46,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:48,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:09:50,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:52,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:55,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:09:56,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:09:59,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:01,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:02,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:05,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:07,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:09,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:10,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:13,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:15,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:17,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:18,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:21,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:22,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:25,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:26,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:29,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:30,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:33,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:35,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:37,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:39,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:41,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:43,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:10:45,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:47,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:49,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:50,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:52,PC-102,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:10:54,PC-101,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:56,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:10:58,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:01,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:02,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:05,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:07,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:09,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:11,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:12,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:11:14,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:11:17,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:18,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:20,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:23,PC-102,ProcessStart SuspiciousProcess.exe
2025-08-18 03:11:24,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:27,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:29,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:30,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:32,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:34,PC-101,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:37,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:39,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:41,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:11:43,PC-103,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:45,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:46,PC-103,ProcessStart SuspiciousProcess.exe
2025-08-18 03:11:48,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:50,PC-103,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:52,PC-102,MalwareDetected Trojan:Win32/Agent
2025-08-18 03:11:54,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
2025-08-18 03:11:57,PC-101,ProcessStart Powershell.exe -EncodedCommand ...
